iter	Passed	Remaining
477	40321	44033
478	40386	43927
479	40447	43818
480	40513	43713
481	40588	43620
482	40666	43529
483	40732	43425
484	40793	43316
485	40882	43237
486	40957	43144
487	41034	43052
488	41118	42968
489	41192	42874
490	41283	42796
491	41350	42695
492	41420	42597
493	41498	42506
494	41575	42415
495	41643	42314
496	41711	42215
497	41787	42122
498	41866	42034
499	41950	41950
500	42052	41884
501	42144	41808
502	42220	41717
503	42304	41633
504	42383	41544
505	42463	41456
506	42530	41356
507	42613	41271
508	42693	41183
509	42774	41097
510	42849	41004
511	42907	40896
512	42995	40816
513	43090	40743
514	43172	40657
515	43266	40582
516	43352	40501
517	43435	40416
518	43504	40319
519	43584	40232
520	43632	40115
521	43716	40031
522	43800	39947
523	43861	39843
524	43945	39759
525	44027	39675
526	44103	39584
527	44191	39504
528	44282	39427
529	44367	39344
530	44440	39251
531	44529	39172
532	44617	39092
533	44690	38999
534	44736	38882
535	44808	38789
536	44895	38708
537	44969	38617
538	45048	38529
539	45140	38453
540	45214	38361
541	45302	38281
542	45398	38208
543	45495	38136
544	45581	38053
545	45659	37965
546	45723	37865
547	45811	37786
548	45902	37708
549	45976	37617
550	46057	37531
551	46134	37442
552	46209	37352
553	46265	37246
554	46346	37160
555	46423	37071
556	46504	36986
557	46570	36889
558	46663	36813
559	46744	36727
560	46838	36652
561	46938	36581
562	47010	36489
563	47104	36413
564	47198	36339
565	47295	36265
566	47378	36181
567	47443	36083
568	47532	36004
569	47603	35911
570	47695	35834
571	47794	35762
572	47881	35681
573	47973	35604
574	48054	35518
575	48137	35434
576	48216	35347
577	48305	35267
578	48389	35184
579	48508	35126
580	48604	35052
581	48678	34961
582	48747	34867
583	48838	34788
584	48912	34698
585	48971	34597
586	49062	34518
587	49152	34440
588	49231	34353
589	49311	34267
590	49380	34173
591	49440	34073
592	49508	33980
593	49571	33881
594	49639	33787
595	49759	33729
596	49849	33650
597	49922	33560
598	50004	33475
599	50095	33397
600	50193	33322
601	50287	33246
602	50368	33161
603	50443	33072
604	50531	32991
605	50631	32919
606	50715	32835
607	50792	32748
608	50874	32663
609	50969	32587
610	51056	32505
611	51111	32404
612	51187	32315
613	51264	32228
614	51357	32150
615	51445	32069
616	51529	31986
617	51605	31898
618	51674	31806
619	51769	31729
620	51849	31643
621	51925	31555
622	52024	31482
623	52111	31400
624	52186	31311
625	52243	31212
626	52309	31118
627	52390	31033
628	52444	30932
629	52512	30840
630	52606	30763
631	52682	30675
632	52751	30584
633	52821	30493
634	52880	30395
635	52957	30309
636	53045	30228
637	53113	30136
638	53209	30060
639	53301	29982
640	53384	29898
641	53474	29819
642	53567	29741
643	53675	29671
644	53780	29599
645	53956	29567
646	54044	29486
647	54156	29418
648	54237	29333
649	54344	29262
650	54423	29176
651	54511	29095
652	54606	29017
653	54678	28927
654	54763	28844
655	54843	28759
656	54922	28673
657	55019	28596
658	55096	28509
659	55173	28422
660	55260	28340
661	55335	28252
662	55404	28161
663	55493	28081
664	55584	28001
665	55667	27917
666	55739	27828
667	55817	27741
668	55894	27654
669	55992	27578
670	56081	27497
671	56171	27417
672	56251	27331
673	56336	27249
674	56414	27162
675	56494	27077
676	56574	26992
677	56648	26903
678	56730	26819
679	56810	26734
680	56892	26649
681	57001	26578
682	57104	26504
683	57202	26426
684	57283	26342
685	57347	26249
686	57437	26168
687	57521	26085
688	57621	26009
689	57712	25928
690	57809	25850
691	57898	25770
692	58002	25695
693	58093	25614
694	58186	25535
695	58275	25453
696	58386	25381
697	58465	25296
698	58549	25212
699	58639	25131
700	58721	25046
701	58809	24964
702	58884	24877
703	58966	24792
704	59069	24717
705	59151	24632
706	59237	24549
707	59305	24459
708	59368	24366
709	59435	24276
710	59497	24183
711	59566	24094
712	59644	24008
713	59732	23926
714	59818	23843
715	59914	23764
716	60003	23683
717	60088	23600
718	60161	23512
719	60254	23432
720	60345	23351
721	60435	23270
722	60535	23192
723	60622	23110
724	60701	23024
725	60771	22935
726	60850	22850
727	60923	22762
728	61006	22678
729	61067	22586
730	61157	22505
731	61224	22415
732	61307	22331
733	61382	22245
734	61463	22160
735	61540	22074
736	61627	21992
737	61707	21906
738	61779	21819
739	61843	21728
740	61915	21641
741	61987	21553
742	62070	21469
743	62182	21396
744	62270	21314
745	62361	21233
746	62448	21150
747	62526	21064
748	62609	20981
749	62682	20894
750	62775	20813
751	62854	20728
752	62931	20642
753	63024	20562
754	63093	20474
755	63185	20393
756	63259	20306
757	63324	20217
758	63412	20134
759	63509	20055
760	63590	19971
761	63680	19889
762	63788	19813
763	63870	19729
764	63959	19647
765	64031	19560
766	64110	19475
767	64157	19380
768	64213	19288
769	64297	19205
770	64387	19124
771	64466	19039
772	64562	18959
773	64637	18873
774	64723	18790
775	64784	18700
776	64858	18614
777	64940	18530
778	65027	18448
779	65118	18366
780	65194	18281
781	65266	18194
782	65344	18109
783	65404	18019
784	65483	17935
785	65565	17851
786	65636	17764
787	65721	17681
788	65793	17594
789	65865	17508
790	65942	17423
791	66006	17334
792	66078	17248
793	66129	17156
794	66204	17071
795	66290	16989
796	66362	16902
797	66437	16817
798	66514	16732
799	66581	16645
800	66667	16562
801	66750	16479
802	66833	16396
803	66910	16311
804	66990	16227
805	67078	16145
806	67164	16062
807	67237	15977
808	67323	15894
809	67408	15811
810	67472	15724
811	67553	15640
812	67632	15556
813	67703	15470
814	67780	15385
815	67863	15302
816	67955	15221
817	68031	15136
818	68123	15055
819	68224	14976
820	68300	14891
821	68375	14806
822	68443	14719
823	68522	14635
824	68610	14553
825	68690	14470
826	68762	14384
827	68821	14296
828	68889	14210
829	68973	14127
830	69055	14043
831	69129	13958
832	69212	13875
833	69288	13791
834	69357	13705
835	69444	13622
836	69537	13541
837	69611	13457
838	69690	13373
839	69772	13289
840	69839	13203
841	69926	13121
842	69996	13036
843	70090	12955
844	70181	12873
845	70255	12788
846	70326	12703
847	70395	12618
848	70484	12536
849	70564	12452
850	70627	12366
851	70693	12280
852	70753	12193
853	70838	12110
854	70898	12023
855	70942	11934
856	71028	11851
857	71090	11765
858	71151	11679
859	71210	11592
860	71272	11506
861	71324	11418
862	71381	11331
863	71433	11244
864	71506	11159
865	71584	11076
866	71653	10991
867	71723	10907
868	71793	10822
869	71870	10739
870	71955	10656
871	72028	10573
872	72099	10488
873	72181	10405
874	72254	10322
875	72337	10239
876	72411	10155
877	72494	10073
878	72575	9990
879	72644	9906
880	72737	9824
881	72836	9744
882	72899	9659
883	72990	9577
884	73057	9493
885	73147	9411
886	73228	9329
887	73300	9245
888	73390	9163
889	73479	9081
890	73555	8998
891	73617	8913
892	73683	8828
893	73757	8745
894	73822	8660
895	73912	8579
896	73996	8496
897	74080	8414
898	74157	8331
899	74235	8248
900	74308	8164
901	74381	8081
902	74471	7999
903	74552	7917
904	74641	7835
905	74706	7750
906	74778	7667
907	74859	7584
908	74939	7502
909	75008	7418
910	75090	7335
911	75171	7253
912	75255	7171
913	75340	7088
914	75419	7006
915	75499	6923
916	75594	6842
917	75686	6760
918	75757	6677
919	75852	6595
920	75920	6512
921	75989	6428
922	76085	6347
923	76181	6266
924	76261	6183
925	76332	6100
926	76424	6018
927	76540	5938
928	76630	5856
929	76720	5774
930	76832	5694
931	76902	5610
932	76971	5527
933	77038	5443
934	77121	5361
935	77233	5280
936	77320	5198
937	77415	5116
938	77500	5034
939	77569	4951
940	77659	4869
941	77720	4785
942	77800	4702
943	77897	4621
944	77991	4539
945	78074	4456
946	78166	4374
947	78262	4292
948	78354	4210
949	78426	4127
950	78488	4044
951	78584	3962
952	78681	3880
953	78760	3797
954	78845	3715
955	78918	3632
956	79006	3549
957	79101	3467
958	79188	3385
959	79277	3303
960	79351	3220
961	79413	3136
962	79478	3053
963	79559	2971
964	79665	2889
965	79723	2805
966	79806	2723
967	79893	2641
968	79969	2558
969	80056	2475
970	80163	2394
971	80251	2311
972	80357	2229
973	80439	2147
974	80522	2064
975	80600	1981
976	80668	1899
977	80759	1816
978	80847	1734
979	80932	1651
980	81000	1568
981	81112	1486
982	81196	1404
983	81315	1322
984	81404	1239
985	81485	1156
986	81570	1074
987	81677	992
988	81776	909
989	81913	827
990	82127	745
991	82387	664
992	82630	582
993	82897	500
994	83064	417
995	83200	334
996	83283	250
997	83373	167
998	83466	83
999	83556	0
