iter	Logloss
0	0.6559701999
1	0.625033251
2	0.5995325174
3	0.5760119857
4	0.5569600315
5	0.5409217366
6	0.526181717
7	0.514358414
8	0.5045469828
9	0.4957316039
10	0.4884463349
11	0.4812226542
12	0.4760886203
13	0.4713022115
14	0.4672500767
15	0.4633339745
16	0.460704106
17	0.4583638401
18	0.4560301469
19	0.4543781466
20	0.452750695
21	0.4508915903
22	0.4492150974
23	0.44755869
24	0.4463977439
25	0.4450851121
26	0.4440926351
27	0.4435044246
28	0.4423948208
29	0.4416252827
30	0.4409721272
31	0.4402503313
32	0.4395931144
33	0.4391075121
34	0.438215172
35	0.4376310633
36	0.436909407
37	0.436464104
38	0.4359893757
39	0.435613189
40	0.4351349145
41	0.4344598933
42	0.4341739814
43	0.4338216018
44	0.4335722066
45	0.4332055191
46	0.4329162878
47	0.4326931989
48	0.4322305465
49	0.4318269405
50	0.4315584216
51	0.4311871317
52	0.4309422298
53	0.4307073003
54	0.4305171909
55	0.4303830341
56	0.430194977
57	0.4300526143
58	0.429929609
59	0.4297761118
60	0.4295792662
61	0.4294362249
62	0.4293298262
63	0.429187229
64	0.4289843037
65	0.4288788007
66	0.428605522
67	0.4283650668
68	0.4281773643
69	0.4280432358
70	0.427909225
71	0.4278132267
72	0.4276940838
73	0.4275380142
74	0.4273516076
75	0.4272077474
76	0.4270708518
77	0.4268396811
78	0.4267334959
79	0.4266899626
80	0.4266083354
81	0.4264680302
82	0.4263446706
83	0.4262465207
84	0.4262019172
85	0.4260799323
86	0.4259297918
87	0.4258367963
88	0.4257501163
89	0.4256802402
90	0.4255779405
91	0.4254505501
92	0.4253610485
93	0.4252831494
94	0.4252260717
95	0.4251610321
96	0.425062428
97	0.4249580453
98	0.4249153959
99	0.4248397043
100	0.4247315136
101	0.4246183711
102	0.4245252642
103	0.4244648478
104	0.4243871906
105	0.4243267069
106	0.4243267045
107	0.4242599458
108	0.4241969766
109	0.4241510315
110	0.4241085854
111	0.424033431
112	0.4239421437
113	0.423910227
114	0.4238996803
115	0.4238214298
116	0.4237571662
117	0.4236871133
118	0.4236443499
119	0.4235752976
120	0.4234771713
121	0.4234481829
122	0.4234046265
123	0.4233523839
124	0.423284621
125	0.4232100773
126	0.4230944082
127	0.4230105517
128	0.4229436837
129	0.422883196
130	0.4228027153
131	0.4228005045
132	0.4227200381
133	0.4226949296
134	0.4226834409
135	0.422647365
136	0.4225818704
137	0.4225246535
138	0.4224630372
139	0.4224440708
140	0.4223998315
141	0.4223826457
142	0.4223783197
143	0.4223729893
144	0.4223351834
145	0.4222576861
146	0.4221958122
147	0.4221316543
148	0.4220143203
149	0.4219778966
150	0.4219062982
151	0.4218051551
152	0.4217511549
153	0.4217102831
154	0.4214661762
155	0.4213651675
156	0.4212754999
157	0.4212331392
158	0.4211708381
159	0.4211199223
160	0.4210742683
161	0.4210281874
162	0.4209745734
163	0.420911623
164	0.4208339353
165	0.4207136259
166	0.4206884313
167	0.4205396945
168	0.4204887674
169	0.4204261115
170	0.4203702912
171	0.4203385506
172	0.420292692
173	0.4202170275
174	0.4201583573
175	0.4201217034
176	0.4200597628
177	0.4199854883
178	0.4198075453
179	0.4197923484
180	0.4197258002
181	0.4196572142
182	0.4195640339
183	0.419517889
